2025-06-24 10:18:15 | INFO     | Frontend | info:76 | Starting QA-Suite Frontend | Context: {"streamlit_version": "1.24.0", "python_version": "3.12.3 (main, May 26 2025, 18:50:19) [GCC 13.3.0]"}
2025-06-24 10:18:16 | INFO     | Frontend | info:76 | Initialized session state | Context: {"current_step": 0}
2025-06-24 10:18:25 | INFO     | QA-Suite | user_action:150 | USER ACTION: entered_website_url | Context: {"url": "https://valueinsightpro.jumpiq.com/auth/login"}
2025-06-24 10:18:25 | INFO     | QA-Suite | step:108 | STEP [1/7] Enter Website URL | Context: {"url": "https://valueinsightpro.jumpiq.com/auth/login"}
2025-06-24 10:18:29 | INFO     | QA-Suite | user_action:150 | USER ACTION: uploaded_js_file | Context: {"filename": "jump_full_flow.js", "file_size": 10540}
2025-06-24 10:18:29 | INFO     | QA-Suite | step:108 | STEP [2/7] Upload JS File | Context: {"filename": "jump_full_flow.js", "file_size": 10540}
2025-06-24 10:18:33 | INFO     | QA-Suite | user_action:150 | USER ACTION: clicked_generate_test_ideas | Context: {"functionality": "Full flow"}
2025-06-24 10:18:43 | INFO     | QA-Suite | api_call:124 | API POST /generate_test_ideas | Status: 200 | Time: 9.85s | Context: {"functionality": "Full flow", "js_content_length": 10540}
2025-06-24 10:18:43 | INFO     | QA-Suite | performance:157 | PERFORMANCE test_ideas_generation_ui | Duration: 9.86s | Context: {"functionality": "Full flow", "test_ideas_count": 20}
2025-06-24 10:18:43 | INFO     | QA-Suite | step:108 | STEP [3/7] Generate Test Ideas | Context: {"functionality": "Full flow", "test_ideas_count": 20}
2025-06-24 10:18:46 | INFO     | QA-Suite | user_action:150 | USER ACTION: clicked_generate_full_flow_script
2025-06-24 10:19:20 | INFO     | QA-Suite | api_call:124 | API POST /generate_full_flow_script | Status: 200 | Time: 33.81s | Context: {"website_url": "https://valueinsightpro.jumpiq.com/auth/login"}
2025-06-24 10:19:20 | INFO     | QA-Suite | performance:157 | PERFORMANCE full_flow_script_generation_ui | Duration: 33.82s | Context: {"script_length": 10688}
2025-06-24 10:19:20 | INFO     | QA-Suite | step:108 | STEP [4/7] Generate Full Flow Script | Context: {"script_length": 10688}
2025-06-24 10:19:23 | INFO     | QA-Suite | user_action:150 | USER ACTION: clicked_run_script | Context: {"script_length": 10688}
2025-06-24 10:20:14 | INFO     | QA-Suite | api_call:124 | API POST /run_script | Status: 400 | Time: 51.25s | Context: {"script_length": 10688}
2025-06-24 10:20:14 | INFO     | QA-Suite | performance:157 | PERFORMANCE script_execution_ui | Duration: 51.25s | Context: {"script_length": 10688}
2025-06-24 10:20:14 | INFO     | QA-Suite | step:108 | STEP [6/7] Run Tests | Context: {"logs_count": 1, "stats": {"passed": 0, "failed": 0, "total": 0}}
2025-06-24 10:20:14 | INFO     | QA-Suite | user_action:150 | USER ACTION: downloaded_results | Context: {"script_length": 10688, "logs_count": 1}
2025-06-24 10:20:14 | INFO     | QA-Suite | step:108 | STEP [7/7] Download Results | Context: {"script_length": 10688, "logs_count": 1}
2025-06-24 10:26:45 | INFO     | QA-Suite | user_action:150 | USER ACTION: entered_website_url | Context: {"url": "https://valueinsightpro.jumpiq.com/auth/login?redirect=/"}
2025-06-24 10:26:45 | INFO     | QA-Suite | step:108 | STEP [1/7] Enter Website URL | Context: {"url": "https://valueinsightpro.jumpiq.com/auth/login?redirect=/"}
2025-06-24 10:26:54 | INFO     | QA-Suite | user_action:150 | USER ACTION: uploaded_js_file | Context: {"filename": "jump_full_flow.js", "file_size": 10540}
2025-06-24 10:26:54 | INFO     | QA-Suite | step:108 | STEP [2/7] Upload JS File | Context: {"filename": "jump_full_flow.js", "file_size": 10540}
2025-06-24 10:27:00 | INFO     | QA-Suite | user_action:150 | USER ACTION: clicked_generate_test_ideas | Context: {"functionality": "Generate full flow"}
2025-06-24 10:27:10 | INFO     | QA-Suite | api_call:124 | API POST /generate_test_ideas | Status: 200 | Time: 10.14s | Context: {"functionality": "Generate full flow", "js_content_length": 10540}
2025-06-24 10:27:10 | INFO     | QA-Suite | performance:157 | PERFORMANCE test_ideas_generation_ui | Duration: 10.14s | Context: {"functionality": "Generate full flow", "test_ideas_count": 20}
2025-06-24 10:27:10 | INFO     | QA-Suite | step:108 | STEP [3/7] Generate Test Ideas | Context: {"functionality": "Generate full flow", "test_ideas_count": 20}
2025-06-24 10:27:13 | INFO     | QA-Suite | user_action:150 | USER ACTION: clicked_generate_full_flow_script
2025-06-24 10:27:44 | INFO     | QA-Suite | api_call:124 | API POST /generate_full_flow_script | Status: 200 | Time: 30.67s | Context: {"website_url": "https://valueinsightpro.jumpiq.com/auth/login?redirect=/"}
2025-06-24 10:27:44 | INFO     | QA-Suite | performance:157 | PERFORMANCE full_flow_script_generation_ui | Duration: 30.67s | Context: {"script_length": 10348}
2025-06-24 10:27:44 | INFO     | QA-Suite | step:108 | STEP [4/7] Generate Full Flow Script | Context: {"script_length": 10348}
2025-06-24 10:28:37 | INFO     | QA-Suite | user_action:150 | USER ACTION: clicked_run_script | Context: {"script_length": 10348}
2025-06-24 10:29:32 | INFO     | QA-Suite | api_call:124 | API POST /run_script | Status: 400 | Time: 54.66s | Context: {"script_length": 10348}
2025-06-24 10:29:32 | INFO     | QA-Suite | performance:157 | PERFORMANCE script_execution_ui | Duration: 54.67s | Context: {"script_length": 10348}
2025-06-24 10:29:32 | INFO     | QA-Suite | step:108 | STEP [6/7] Run Tests | Context: {"logs_count": 1, "stats": {"passed": 0, "failed": 0, "total": 0}}
2025-06-24 10:29:32 | INFO     | QA-Suite | user_action:150 | USER ACTION: downloaded_results | Context: {"script_length": 10348, "logs_count": 1}
2025-06-24 10:29:32 | INFO     | QA-Suite | step:108 | STEP [7/7] Download Results | Context: {"script_length": 10348, "logs_count": 1}
2025-06-24 10:32:56 | INFO     | QA-Suite | user_action:150 | USER ACTION: entered_website_url | Context: {"url": "https://valueinsightpro.jumpiq.com/auth/login?redirect=/"}
2025-06-24 10:32:56 | INFO     | QA-Suite | step:108 | STEP [1/7] Enter Website URL | Context: {"url": "https://valueinsightpro.jumpiq.com/auth/login?redirect=/"}
