2025-06-25 09:23:05 | INFO     | Backend | info:76 | Starting QA-Suite Backend with Dynamic Self-Healing Engine | Context: {"python_version": "3.12.3 (main, Jun 18 2025, 17:59:45) [GCC 13.3.0]", "flask_version": "2.3.3", "langchain_version": "0.1.53"}
2025-06-25 09:23:05 | INFO     | Backend | info:76 | LLM initialized | Context: {"model": "gemini-2.5-flash-preview-05-20", "temperature": 0.1, "api_key_configured": true}
2025-06-25 09:23:05 | INFO     | Backend | info:76 | Starting Flask development server with Dynamic Self-Healing Engine | Context: {"host": "localhost", "port": 5000, "debug": true}
2025-06-25 09:25:21 | INFO     | Backend | info:76 | Received test ideas generation request
2025-06-25 09:25:51 | INFO     | Backend | info:76 | Received full flow script generation request
2025-06-25 09:26:10 | INFO     | Backend | info:76 | Received test ideas generation request
2025-06-25 09:33:22 | INFO     | Backend | info:76 | Received script generation request
2025-06-25 09:33:51 | INFO     | Backend | info:76 | Received script execution request
2025-06-25 09:33:51 | INFO     | Backend | info:76 | Starting execution attempt 1/7
2025-06-25 09:33:51 | INFO     | Backend | info:76 | Enhancing test script with automatic DOM dumping on failure.
2025-06-25 10:12:15 | WARNING  | Backend | warning:88 | Script failed on attempt 1. Analyzing for self-healing.
2025-06-25 10:12:15 | INFO     | Backend | info:76 | Manual retry 1/3 failed. Waiting 10.0s before next attempt.
2025-06-25 10:12:25 | INFO     | Backend | info:76 | Starting execution attempt 2/7
2025-06-25 10:12:25 | INFO     | Backend | info:76 | Enhancing test script with automatic DOM dumping on failure.
