2025-06-22 15:57:29 | INFO     | Frontend | info:76 | Starting QA-Suite Frontend | Context: {"streamlit_version": "1.24.0", "python_version": "3.12.3 (main, May 26 2025, 18:50:19) [GCC 13.3.0]"}
2025-06-22 15:57:30 | INFO     | Frontend | info:76 | Initialized session state | Context: {"current_step": 0}
2025-06-22 15:57:42 | INFO     | QA-Suite | user_action:150 | USER ACTION: entered_website_url | Context: {"url": "https://geneconnectdoctor.shorthills.ai/login"}
2025-06-22 15:57:42 | INFO     | QA-Suite | step:108 | STEP [1/7] Enter Website URL | Context: {"url": "https://geneconnectdoctor.shorthills.ai/login"}
2025-06-22 15:57:44 | INFO     | QA-Suite | user_action:150 | USER ACTION: uploaded_js_file | Context: {"filename": "geneconnect 2 copy.js", "file_size": 4672}
2025-06-22 15:57:44 | INFO     | QA-Suite | step:108 | STEP [2/7] Upload JS File | Context: {"filename": "geneconnect 2 copy.js", "file_size": 4672}
2025-06-22 15:58:04 | INFO     | QA-Suite | user_action:150 | USER ACTION: clicked_generate_test_ideas | Context: {"functionality": "Generate test cases for Login and Form 1"}
2025-06-22 15:58:22 | INFO     | QA-Suite | api_call:124 | API POST /generate_test_ideas | Status: 200 | Time: 18.37s | Context: {"functionality": "Generate test cases for Login and Form 1", "js_content_length": 4672}
2025-06-22 15:58:22 | INFO     | QA-Suite | performance:157 | PERFORMANCE test_ideas_generation_ui | Duration: 18.37s | Context: {"functionality": "Generate test cases for Login and Form 1", "test_ideas_count": 20}
2025-06-22 15:58:22 | INFO     | QA-Suite | step:108 | STEP [3/7] Generate Test Ideas | Context: {"functionality": "Generate test cases for Login and Form 1", "test_ideas_count": 20}
2025-06-22 15:58:34 | INFO     | QA-Suite | user_action:150 | USER ACTION: clicked_generate_script | Context: {"selected_tests_count": 20, "selected_tests": ["Sanity: User can successfully login with valid credentials and navigate to the dashboard.", "Sanity: Login page displays all required input fields (username, password) and submit button.", "Edge Case: User cannot login with an incorrect username (e.g., 'invaliduser') and valid password (remains on login page).", "Edge Case: User cannot login with a valid username and incorrect password (e.g., 'wrongpass') (remains on login page).", "Edge Case: User cannot login with empty username field (remains on login page).", "Edge Case: User cannot login with empty password field (remains on login page).", "Edge Case: User cannot login with both username and password fields empty (remains on login page).", "Error Recovery: User can re-enter credentials and successfully login after a previous failed attempt.", "Sanity: User can successfully fill all required fields in Form 1 and proceed to the next form.", "Sanity: All Form 1 fields (First Name, Last Name, DOB, Age, Gender, Adoption Status) are visible and interactive.", "Sanity: Date of birth field accepts valid 'mm/dd/yyyy' format and correctly auto-populates age.", "Sanity: Gender radio buttons (Male, Female, Other) are mutually exclusive and allow selection.", "Sanity: Adoption status radio buttons (Yes, No, Unknown) are mutually exclusive and allow selection.", "Edge Case: Form 1 submission fails if 'First name' is empty (user remains on Form 1).", "Edge Case: Form 1 submission fails if 'Last name' is empty (user remains on Form 1).", "Edge Case: Form 1 submission fails if 'Date of birth' is empty (user remains on Form 1).", "Edge Case: Form 1 submission fails if 'Gender' is not selected (user remains on Form 1).", "Edge Case: Form 1 submission fails if 'Adoption status' is not selected (user remains on Form 1).", "Edge Case: Date of birth field rejects a future date (e.g., '12/25/2050') (user remains on Form 1).", "Edge Case: First name field accepts input containing special characters (e.g., 'Abhinav-!@#') without breaking input."]}
2025-06-22 16:00:32 | INFO     | QA-Suite | api_call:124 | API POST /generate_script | Status: 200 | Time: 117.49s | Context: {"website_url": "https://geneconnectdoctor.shorthills.ai/login", "selected_tests_count": 20}
2025-06-22 16:00:32 | INFO     | QA-Suite | performance:157 | PERFORMANCE script_generation_ui | Duration: 117.50s | Context: {"selected_tests_count": 20, "script_length": 52914}
2025-06-22 16:00:32 | INFO     | QA-Suite | step:108 | STEP [4/7] Generate Script | Context: {"selected_tests_count": 20, "script_length": 52914}
2025-06-22 16:01:00 | INFO     | QA-Suite | user_action:150 | USER ACTION: clicked_run_script | Context: {"script_length": 52914}
2025-06-22 16:01:01 | INFO     | QA-Suite | api_call:124 | API POST /run_script | Status: 200 | Time: 0.57s | Context: {"script_length": 52914}
2025-06-22 16:01:01 | INFO     | QA-Suite | performance:157 | PERFORMANCE script_execution_ui | Duration: 0.57s | Context: {"script_length": 52914}
2025-06-22 16:01:01 | INFO     | QA-Suite | step:108 | STEP [6/7] Run Tests | Context: {"logs_count": 0, "stats": {"failed": 0, "passed": 0, "success_rate": "0%", "total": 0}}
2025-06-22 16:01:39 | INFO     | QA-Suite | user_action:150 | USER ACTION: clicked_run_script | Context: {"script_length": 52914}
2025-06-22 16:01:40 | INFO     | QA-Suite | api_call:124 | API POST /run_script | Status: 200 | Time: 0.57s | Context: {"script_length": 52914}
